"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"stormtrooper";2;"LOGO";;;
2;"L2";"CD127";1;"22uH";;;
3;"C1,C11,C12,C17";"C_0805_HandSoldering";4;"0.1uF";;;
4;"C2";"C_0805_HandSoldering";1;"6.8nF";;;
5;"C3";"C_0805_HandSoldering";1;"1uF";;;
6;"C4,C21";"C_0805_HandSoldering";2;"10uF";;;
7;"C5,C22";"C_0805_HandSoldering";2;"22uF";;;
8;"C6,C10";"C_0805_HandSoldering";2;"0.47uF";;;
9;"C7,C8,C9";"C_0805_HandSoldering";3;"1nF";;;
10;"C13,C15";"C_0805_HandSoldering";2;"100nF";;;
11;"C14,C16,C19,C20";"C_1206_HandSoldering";4;"100uF";;;
12;"C18";"C_0805_HandSoldering";1;"2.2nF";;;
13;"CON1";"SD_CARD-112l-TXAO-R";1;"SD_Card";;;
14;"D1,D2,D3,D4";"SMA-SMB_Universal_Handsoldering";4;"SS34";;;
15;"L1,L3";"CD32";2;"3.3uH";;;
16;"P1";"JST_SH_SM02B-SRSS-TB_02x1.00mm_Angled";1;"BUTTON";;;
17;"P2";"JST_SH_SM02B-SRSS-TB_02x1.00mm_Angled";1;"SPEAKER";;;
18;"P3";"Pin_Header_Straight_1x07";1;"MAIN_CON";;;
19;"P4";"JST_SH_BM04B-SRSS-TB_04x1.00mm_Straight";1;"STLINK";;;
20;"P7";"JST_PH_S2B-PH-K_02x2.00mm_Angled";1;"USB_POWER";;;
21;"Q1,Q2,Q3,Q4";"SOT-23";4;"IRFML8244TRPbF";;;
22;"R1";"R_0805_HandSoldering";1;"150K";;;
23;"R2,R4,R12,R18,R19";"R_0805_HandSoldering";5;"10K";;;
24;"R3";"R_0805_HandSoldering";1;"30K";;;
25;"R5,R6,R7,R8,R9,R10,R11,R13,R24,R26";"R_0805_HandSoldering";10;"47K";;;
26;"R14,R22";"R_0805_HandSoldering";2;"10R";;;
27;"R15,R16,R20,R21,R23";"R_0805_HandSoldering";5;"100R";;;
28;"R17";"R_1206_HandSoldering";1;".01R";;;
29;"R25";"R_1206_HandSoldering";1;".05R";;;
30;"U1";"SOP65P488X107-9N";1;"TPA2005D1DGN";;;
31;"U2";"S-PWSON-N8";1;"TPS62172";;;
32;"U3";"LQFP-64_10x10mm_Pitch0.5mm";1;"STM32F103RCTx";;;
33;"U4";"TDFN-14-1EP_3x3mm_Pitch0.4mm";1;"MAX17205";;;
34;"U5";"SOT-23-5";1;"IRS44273L";;;
35;"U6";"HC-05";1;"HC-05";;;
36;"U7";"QFN50P400X400X95-25N";1;"MPU-6050";;;
37;"U8";"S-PWSON-N8";1;"TPS62173";;;
38;"P5";"PIN_HEADER_2x10_SMD_FEMALE";1;"CONN_02X10";;;
39;"P6";"PIN_HEADER_2x10_SMD_MALE";1;"CONN_02X10";;;
